species_no,species_name,taxo_group,m_BS,m_SE,f_BS,f_SE,error type,measure,measurement,SSD_index,logF-logM,data_available,mating_system,parental_care
1,Abax parallelepipedus,invertebrate,0.234,0.014,0.251,0.007,,mass,body mass (g),-0.068,0.03,2,NA,none
2,Acanthis flammea,bird,78.1,0.03,77.1,0.03,SE,partial.length,wing length (mm),0.013,-0.01,2,monogamy,biparental
3,Acheta domesticus,invertebrate,2.94,0.031,2.941,0.033,SE,partial.length,pronotum length (mm),0,0,2,multiple mating,none
4,Aethopyga christinae,bird,100,NA,85,NA,NA,length,body length (mm),0.176,-0.071,2,NA,NA
5,Agelenopsis pennsylvanica,invertebrate,10.23,NA,11.675,NA,NA,length,body length (mm),-0.124,0.06,1,multiple mating,maternal
6,Ailuropoda melanoleuca,mammal,112750,4250,76670,1247,SE,mass,body mass (g),0.471,-0.167,2,multiple mating,maternal
7,Alectoris rufa,bird,165,,157,,NA,partial.length,wing length (mm),0.051,-0.02,2,monogamy,biparental
8,Amandava amandava,bird,8.5,0.5,NA,NA,NA,mass,body mass (g),,,1,monogamy,biparental
9,Amatitlania nigrofasciata,fish,79.73,1.57,42.95,1.65,SE,length,standard length (mm),0.856,-0.27,2,monogamy,biparental
10,Amphibolurus muricatus,reptilia,91.7,1.2,90.5,1,SE,length,snout-ventral length (mm),0.013,-0.006,2,multiple mating,maternal
11,Amphilophus citrinellus,fish,148.02,13.3,116.97,10.98,SD,length,standard length (mm),0.265,-0.102,2,monogamy,biparental
12,Anas castanea,bird,660,65,590,138,SD,mass,body mass (g),0.119,-0.049,2,monogamy,biparental
13,Anas crecca,bird,320,NA,291,NA,NA,mass,body mass (g),0.1,-0.041,2,monogamy,maternal
14,Anas platyrhynchos,bird,1246,108,1095,106,SD,mass,body mass (g),0.138,-0.056,2,monogamy,biparental
15,Anas rhynchotis,bird,637,46.9,614,46.2,SD,mass,body mass (g),0.037,-0.016,2,multiple mating,maternal
16,Anelosimus studiosus,invertebrate,0.002314,0.000439,0.002597,0.000521,SD,mass,body mass (g),-0.109,0.05,2,multiple mating,maternal
17,Anser anser,bird,3509,321,3108,274,SD,mass,body mass (g),0.129,-0.053,2,monogamy,maternal
18,Aphanius fasciatus,fish,43.52,7.19,43.28,4.47,SD,length,standard length (mm),0.006,-0.002,2,multiple mating,none
19,Aphanius iberus,fish,19.4,NA,21.2,NA,NA,length,standard length (mm),-0.085,0.039,2,multiple mating,none
20,Aquarius remigis,invertebrate,14.48,0.61,15.66,0.6,SD,length,body length (mm),-0.075,0.034,2,multiple mating,none
21,Archocentrus nigrofasciatus,fish,68.5,NA,45,NA,NA,length,body length (mm),0.522,-0.182,2,monogamy,biparental
22,Asellus aquaticus,invertebrate,10.2,0.424,7.55,0.071,SD,length,body length (mm),0.351,-0.131,2,multiple mating,maternal
23,Ateles geoffroyi,mammal,7780,NA,7290,NA,NA,mass,body mass (g),0.067,-0.028,2,multiple mating,maternal
24,Ateles hybridus,mammal,NA,NA,NA,NA,NA,NA,NA,,,0,multiple mating,maternal
25,Athene cunicularia,bird,146,11.7,156,20,SD,mass,body mass (g),-0.064,0.029,2,monogamy,biparental
26,Aythya australis,bird,902,NA,838,NA,NA,mass,body mass (g),0.076,-0.032,2,monogamy,maternal
27,Aythya fuligula,bird,723,NA,680,NA,NA,mass,body mass (g),0.063,-0.027,2,monogamy,maternal
28,Bathynomus giganteus,invertebrate,386.8,342.2,265,60.8,SD,mass,body mass (g),0.46,-0.164,2,multiple mating,maternal
29,Betta splendens,fish,39.2,0.624,36.1,0.557,SD,length,body length (mm),0.086,-0.036,2,monogamy,paternal
30,Biziura lobata,bird,874.5,41.5,723.8,26.9,SD,partial.length,wing length (mm),0.208,-0.08,2,multiple mating,maternal
31,Booralana tricarinata,invertebrate,4.6,1.8,4.6,1.2,SD,mass,body mass (g),0,0,2,NA,NA
32,Brachyrhaphis episcopi,fish,27.8,1.3,35.1,0.8,SE,length,standard length (mm),-0.208,0.101,2,multiple mating,none
33,Brachyrhaphis rhabdophora,fish,29.2,4.7,34.5,6.5,SD,length,standard length (mm),-0.154,0.072,2,multiple mating,none
34,Bubo bubo,bird,93.8,4.5,102.5,6.58,SD,partial.length,tarsus length (mm),-0.085,0.04,2,monogamy,biparental
35,Bucanetes githagineus,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
36,Bucephala clangula,bird,1120,13,711,14.1,SD,mass,body mass (g),0.575,-0.197,2,monogamy,biparental
37,Callithrix geoffroyi,mammal,290,NA,190,NA,NA,mass,body mass (g),0.526,-0.184,2,monogamy,biparental
38,Callosobruchus chinensis,invertebrate,0.00349,0.00071,0.00434,0.00087,SD,mass,body mass (g),-0.196,0.095,2,multiple mating,biparental
39,Callosobruchus maculatus,invertebrate,0.00387,0.00084,0.00467,0.00095,SD,mass,body mass (g),-0.171,0.082,2,multiple mating,none
40,Canis latrans,mammal,1140,200,960,100,SE,mass,body mass (g),0.188,-0.075,2,monogamy,biparental
41,Capreolus capreolus,mammal,27680,NA,26730,NA,NA,mass,body mass (g),0.036,-0.015,2,multiple mating,maternal
42,Carabus nemoralis,invertebrate,14.15,NA,14.98,NA,NA,partial.length,elytron length (mm),-0.055,0.025,2,multiple mating,maternal
43,Carcinus maenas,invertebrate,44.54,1.77,47.21,1.01,SE,partial.length,carapace width (mm),-0.057,0.025,2,multiple mating,maternal
44,Carduelis cannabina,bird,20.2,NA,18.9,NA,NA,mass,body mass (g),0.069,-0.029,2,monogamy,maternal
45,Carduelis carduelis,bird,75.5,,73.3,,SE,partial.length,wing length (mm),0.03,-0.013,2,multiple mating,biparental
46,Carduelis chloris,bird,91.7,1.8,87.1,1.9,SD,partial.length,wing length (mm),0.053,-0.022,2,monogamy,biparental
47,Carpodacus erythrinus,bird,25,NA,23,NA,NA,mass,body mass (g),0.087,-0.036,2,monogamy,maternal
48,Cavia aperea,mammal,678,91,593,30,SD,mass,body mass (g),0.143,-0.058,2,multiple mating,maternal
49,Cereopsis novaehollandiae,bird,4135,NA,3180,NA,NA,mass,body mass (g),0.3,-0.114,2,monogamy,biparental
50,Cettia cetti,bird,15.2,1,11.5,0.8,SD,mass,body mass (g),0.322,-0.121,2,multiple mating,biparental
51,Charadrius hiaticula,bird,63.3,NA,64.8,NA,NA,mass,body mass (g),-0.023,0.01,2,monogamy,cooperative
52,Charadrius ruficapilus,bird,105.1,3.19,104,2.48,SD,partial.length,wing length (mm),0.011,-0.005,2,monogamy,biparental
53,Chenonetta jubata,bird,815,NA,800,NA,NA,mass,body mass (g),0.019,-0.008,2,monogamy,none
54,Cherax destructor,invertebrate,109.87,6.8,112.21,5.9,SE,length,body length (mm),-0.021,0.009,2,multiple mating,maternal
55,Chlamydotis undulata,bird,1960,NA,1150,NA,NA,mass,body mass (g),0.704,-0.232,2,multiple mating,maternal
56,Chlorocebus pygerythrus,mammal,413,NA,257,NA,NA,mass,body mass (g),0.607,-0.206,2,multiple mating,biparental
57,Columba palumbus,bird,250.93,7.2,248.25,6.5,SD,partial.length,wing length (mm),,,0,monogamy,biparental
58,Copsychus saularis,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
59,Corcorax melanorhamphos,bird,381.54,29.28,372.89,37.32,SD,mass,body mass (g),0.023,-0.01,2,monogamy,cooperative
60,Coturnix japonica,bird,106.8,26.6,134.3,14.3,NA,mass,body mass (g),-0.205,0.1,2,multiple mating,biparental
61,Crocuta crocuta,mammal,48700,NA,55600,NA,NA,mass,body mass (g),-0.124,0.058,2,multiple mating,maternal
62,Cyanistes caeruleus,bird,19.25,NA,18.1,NA,NA,mass,body mass (g),0.064,-0.027,2,monogamy,biparental
63,Cyanocitta stelleri,bird,138.1,1.1,134,0.5,SE,partial.length,wing length (mm),0.031,-0.013,2,monogamy,biparental
64,Cygnus atratus,bird,6990,880,5330,750,SD,mass,body mass (g),0.311,-0.118,2,monogamy,biparental
65,Cyprinus carpio,fish,283,7.9,282.86,6.06,SE,length,body length (mm),0,0,2,multiple mating,none
66,Danio rerio,fish,27.58,0.96,30.19,1.41,SD,length,standard length (mm),-0.086,0.039,2,multiple mating,none
67,Dendrocopos major,bird,76,NA,72.7,NA,NA,mass,body mass (g),0.045,-0.019,2,monogamy,biparental
