spp_name_phylo,taxo_group,total_n,SSD_index,activity,aggression,boldness,exploration,sociality
Acanthocyclus_hassleri,invertebrate,1,0.081,0,0,1,0,0
Acheta_domesticus,invertebrate,9,0,1,0,1,1,0
Aethopyga_christinae,bird,1,0.176,0,0,1,0,0
Ailuropoda_melanoleuca,mammal,16,0.471,1,0,1,0,1
Alectoris_rufa,bird,1,0.051,0,0,1,0,0
Amandava_amandava,bird,1,NA,0,0,1,0,0
Amatitlania_nigrofasciata,fish,6,0.856,0,1,1,0,0
Amphibolurus_muricatus,reptilia,2,0.013,0,0,1,0,0
Amphilophus_citrinellus,fish,6,0.265,0,1,0,0,0
Anas_castanea,bird,1,0.119,0,0,1,0,0
Anas_crecca,bird,1,0.1,0,0,1,0,0
Anas_platyrhynchos,bird,6,0.138,0,0,1,0,0
Anas_rhynchotis,bird,1,0.037,0,0,1,0,0
Anser_anser,bird,1,0.129,0,0,1,0,0
Aphanius_fasciatus,fish,10,0.006,1,0,1,0,0
Aphanius_iberus,fish,5,-0.085,0,1,0,0,0
Asellus_aquaticus,invertebrate,6,0.351,1,0,1,0,0
Ateles_geoffroyi,mammal,13,0.067,0,1,1,0,1
Ateles_hybridus,mammal,11,NA,0,1,0,0,1
Athene_cunicularia,bird,2,-0.064,0,0,1,0,0
Aythya_australis,bird,1,0.076,0,0,1,0,0
Aythya_fuligula,bird,1,0.063,0,0,1,0,0
Betta_splendens,fish,32,0.086,0,1,0,0,1
Biziura_lobata,bird,1,0.208,0,0,1,0,0
Brachyrhaphis_episcopi,fish,13,-0.208,0,1,1,0,0
Brachyrhaphis_rhabdophora,fish,10,-0.154,0,0,1,0,0
Bubo_bubo,bird,16,-0.085,1,0,0,1,0
Bucephala_clangula,bird,1,0.575,0,0,1,0,0
Callithrix_geoffroyi,mammal,12,0.526,0,0,0,0,1
Callosobruchus_chinensis,invertebrate,4,-0.196,1,0,0,0,0
Callosobruchus_maculatus,invertebrate,6,-0.171,1,0,0,0,0
Canis_latrans,mammal,5,0.188,0,1,1,0,0
Capreolus_capreolus,mammal,12,0.036,1,1,0,1,0
Carabus_nemoralis,invertebrate,4,-0.055,0,0,1,0,0
Carcinus_maenas,invertebrate,6,-0.057,0,0,1,1,0
Carduelis_cannabina,bird,2,0.069,0,0,1,0,0
Carduelis_carduelis,bird,4,0.03,0,0,1,0,0
Carduelis_chloris,bird,7,0.053,0,0,1,0,0
Carduelis_flammea,bird,1,0.013,0,0,1,0,0
Carduelis_spinus,bird,2,-0.016,0,0,1,0,0
Carpodacus_erythrinus,bird,1,-0.036,0,0,1,0,0
Catharacta_antarctica,bird,3,-0.103,1,0,0,0,0
Cavia_aperea,mammal,12,0.143,0,0,1,1,0
Cereopsis_novaehollandiae,bird,1,-0.114,0,0,1,0,0
Cettia_cetti,bird,1,0.322,0,0,1,0,0
Charadrius_hiaticula,bird,1,-0.023,0,0,1,0,0
Charadrius_ruficapillus,bird,1,0.011,0,0,1,0,0
Chenonetta_jubata,bird,1,0.019,0,0,1,0,0
Cherax_destructor,invertebrate,4,-0.021,0,1,0,0,0
Chlamydotis_undulata,bird,18,0.704,1,0,0,0,0
Chlorocebus_pygerythrus,mammal,4,0.607,0,0,1,0,0
Chrysolina_hyperici,invertebrate,30,-0.244,1,0,1,1,0
Cirolana_rugicauda,invertebrate,5,0,1,0,0,0,0
Columba_palumbus,bird,1,0.011,0,0,1,0,0
Copsychus_saularis,bird,2,NA,0,0,1,0,0
Corcorax_melanorhamphos,bird,2,0.023,0,0,1,0,0
Coturnix_japonica,bird,50,-0.205,1,0,1,1,1
Crocuta_crocuta,mammal,10,-0.124,1,1,0,0,0
Cyanocitta_stelleri,bird,5,0.031,0,0,1,1,0
Cygnus_atratus,bird,1,0.311,0,0,1,0,0
Cymodoce_tattersalli,invertebrate,2,0.644,0,1,0,0,0
Cyprinus_carpio,fish,6,0,0,0,1,0,0
Danio_rerio,fish,199,-0.086,1,1,1,1,1
Dendrocopos_major,bird,1,0.045,0,0,1,0,0
Diomedea_exulans,bird,1,0.204,0,0,1,0,0
Diploptera_punctata,invertebrate,22,-0.132,0,0,0,1,1
Drosophila_kurseongensis,invertebrate,2,NA,1,1,0,0,0
Drosophila_melanogaster,invertebrate,35,-0.387,1,1,0,0,0
Drosophila_prolongata,invertebrate,4,0.166,1,1,0,0,0
Emberiza_cia,bird,1,0.066,0,0,1,0,0
Emberiza_citrinella,bird,1,NA,0,0,1,0,0
Emberiza_schoeniclus,bird,1,0.02,0,0,1,0,0
Ensatina_eschscholtzii,reptilia,28,0.05,0,1,0,0,0
Eospalax_smithii,mammal,30,NA,0,0,1,0,0
Epthianura_albifrons,bird,1,0.014,0,0,1,0,0
Eriocheir_sinensis,invertebrate,2,0.021,1,0,1,0,0
Eris_militaris,invertebrate,52,-0.03,1,0,0,0,0
Euprymna_scolopes,invertebrate,2,0.009,0,0,1,0,0
Falco_tinnunculus,bird,1,-0.196,0,0,1,0,0
Ficedula_hypoleuca,bird,5,-0.218,0,0,1,0,0
Fringilla_coelebs,bird,7,0.048,0,0,1,0,0
Galerida_cristata,bird,1,-0.069,0,0,1,0,0
Gallus_gallus,bird,44,0.43,1,0,1,1,0
Gambusia_affinis,fish,16,-0.214,1,1,1,0,1
Gambusia_nicaraguensis,fish,42,-0.14,0,0,1,0,0
Gammarus_fossarum,invertebrate,9,0.096,1,0,1,1,0
Gasterosteus_aculeatus,fish,5,-0.064,0,0,1,1,1
